order_id,customer_id,event_date,event_time,sku,price,quantity
999,c1,2025-01-02,2025-01-02 10:25:00,A,-82.31,1
1001,c5,2025-01-02,2025-01-02 17:03:00,B,4.71,4
1002,c1,2025-01-02,2025-01-02 09:15:00,D,6.85,5
1003,c5,2025-01-01,2025-01-01 11:40:00,A,58.13,4
1004,c5,2025-01-01,2025-01-01 11:02:00,B,29.67,2
1005,c3,2025-01-03,2025-01-03 09:36:00,B,11.2,5
1006,c1,2025-01-03,2025-01-03 11:23:00,A,56.87,5
1007,c5,2025-01-01,2025-01-01 15:43:00,D,77.95,4
1008,c3,2025-01-03,2025-01-03 15:23:00,B,79.64,2
1008,c5,2025-01-01,2025-01-01 17:19:00,D,87.64,4
1010,c1,2025-01-02,2025-01-02 17:04:00,D,17.33,3
1011,c1,2025-01-01,2025-01-01 15:26:00,A,76.69,5
1012,c3,2025-01-02,2025-01-02 13:44:00,D,58.41,4
1013,c4,2025-01-01,2025-01-01 09:17:00,A,-7.01,3
1014,c4,2025-01-03,2025-01-03 17:43:00,C,71.95,3
1015,c2,2025-01-01,2025-01-01 15:22:00,A,49.88,2
1016,c2,2025-01-02,2025-01-02 10:47:00,D,39.7,4
1017,c4,2025-01-01,2025-01-01 10:28:00,C,88.45,4
1017,c4,2025-01-03,2025-01-03 12:45:00,C,68.59,4
1019,c2,2025-01-01,2025-01-01 10:05:00,B,23.96,2
